title,author,year,press,price,category
局外人（诺贝尔文学奖得主加缪的代表作，同时收录《局外人》《堕落》）,（法）阿尔贝·加缪著、 田伟华译,2019,台海出版社,49.8,小说
你当像鸟飞往你的山（比尔·盖茨年度特别推荐，登顶《纽约时报》畅销榜80 周！多一个人读到这个真实故事，就多一个人勇敢做自己！）,塔拉 · 韦斯特弗  著 ， 新经典  出品,2019,南海出版公司,59.0,文学
皮囊（360万册纪念版。直面人生的终极问题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命。感动千万读者的国民读本）,蔡崇达，果麦文化 出品,2019,天津人民出版社,49.8,文学
慢煮生活（汪曾祺诞辰100周年特别纪念版！毕生精华散文选，2020年畅销领衔之作）,汪曾祺 著  时代华语 出品,2019,江苏凤凰文艺出版社,42.0,文学
丰子恺万般滋味，都是生活,丰子恺,2018,华中科技大学出版社,42.0,文学
浮生六记（李现推荐版本，畅销300万册，1161510条当当读者五星好评。沈复给芸娘的绝美情书）【果麦经典】,沈复 著 ， 张佳玮 译，果麦文化 出品,2015,天津人民出版社,32.0,文学
一间自己的房间（写给聪明女生的指南！女性觉醒的必读经典！做自己，比任何事都更重要！未删节插图本）作家榜经典文库,[英] 维吉尼亚·伍尔夫 著，于是 译，作家榜经典 出品，大星文化,2019,中信出版社,45.0,文学
沉默的大多数（手稿珍藏版，肖战推荐）,王小波 著，新经典 出品,2017,北京十月文艺出版社,35.0,文学
半小时漫画唐诗系列（套装全2册）（唐诗系列完结篇！漫画科普开创者二混子新作！全网粉丝700万！看起来都是笑点，实际上全是考点！）,陈磊·半小时漫画团队,2019,江苏凤凰文艺出版社,99.8,文学
三毛全集02：撒哈拉的故事（1-9年级必读书单）,三毛 著，新经典 出品,2017,北京十月文艺出版社,35.0,文学
一只特立独行的猪（肖战推荐）,王小波 著，新经典 出品,2017,北京十月文艺出版社,35.0,文学
自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作家协会推荐精读）,贾平凹 著 时代华语 出品,2016,长江文艺出版社,39.0,文学
人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏读于一书）（1-9年级必读书单）,王国维　著,2015,北京联合出版公司,29.8,文学
作家榜经典：茶馆(全新未删节插图珍藏版！完整收录《茶馆》《龙须沟》！老舍经典代表作，统编语文教材推荐阅读书目！),老舍 著，作家榜经典 出品，大星文化,2019,华东师范大学出版社,36.0,文学
白岩松：白说,白岩松,2015,长江文艺出版社,39.8,文学
看见,柴静 著，理想国 出品,2013,广西师范大学出版社,39.8,文学
地狱变：芥川龙之介代表作，人生比地狱更像地狱！,（日）芥川龙之介 著,2018,江苏凤凰文艺出版社,48.0,文学
汪曾祺散文精选集：万事有心，人间有味（麦家、冯唐、贾平凹等极力推崇）,汪曾祺 著 时代华语 出品,2019,中国友谊出版公司,42.0,文学
笑场（《吐槽大会》总策划、《奇葩说》导师李诞首部作品，精装版）,李诞 著，博集天卷 出品,2017,湖南文艺出版社,36.0,文学
瓦尔登湖(珍藏本) 朗读者朗读书目,（美）梭罗    知书达礼  出品,2010,中国三峡出版社,28.0,文学
作家榜经典：李清照诗词全集（如果您心里藏着一个人，深夜悄悄流眼泪，一定要读李清照！李清照诗词全集，全彩导读详注珍藏版！）,[宋] 李清照 著，程璧 导读，作家榜经典 出品，大星文化,2019,中信出版社,46.0,文学
潜规则：中国历史中的真实游戏（修订版）,吴思,2018,复旦大学出版社,48.0,历史
半小时漫画中国史1-4+世界史（共5册）（独家签章版）（看半小时漫画，通五千年历史！漫画式科普开创者二混子新作！）,陈磊,2019,海南出版社,209.5,历史
世界简史,（英），威尔斯,2019,台海出版社,49.8,历史
见识城邦·人类简史：从动物到上帝（新版）,[以色列] 尤瓦尔·赫拉利（Yuval Noah Harari）,2017,中信出版社,68.0,历史
中国历史常识（一本华人世界公认的国史巨著，民国以来畅销至今的国史读本。）,吕思勉著,2019,浙江工商大学出版社,49.8,历史
万历十五年 一本好书 腾讯视频栏目推荐,黄仁宇,2006,生活.读书.新知三联书店,26.0,历史
半小时漫画中国史4（看半小时漫画，通五千年历史！漫画科普开创者二混子新作！一到宋朝，梗就扑面而来！系列第4部）,陈磊 (笔名：二混子) 著；读客出品,2019,海南出版社,49.9,历史
断舍离,(日)山下英子,2013,广西科学技术出版社,32.0,成功/励志
枪炮、病菌与钢铁——人类社会的命运(修订版）,（美）贾雷德.戴蒙德 著，谢延光 译,2016,上海译文出版社,55.0,历史
半小时漫画中国史（番外篇）：中国传统节日（屈原自己都过端午，清明原来不用扫墓。看半小时漫画，传统节日的来历瞬间一清二楚！）,陈磊·半小时漫画团队,2019,海南出版社,39.9,历史
明朝那些事儿全集 增补版（新版全套9册）,当年明月 著，磨铁图书 出品,2017,北京联合出版有限公司,297.0,历史
民国往事,萨沙 编,2015,北京联合出版公司,18.0,历史
中国通史（易中天推崇的史学大师吕思勉的国史入门书，华人世界公认的权威国史巨著）,吕思勉　著,2015,民主与建设出版社,39.8,历史
钱穆谈中国历史文化：中国历史精神,钱穆,2019,贵州人民出版社,26.0,历史
史记（精装全6册 附年表）,[汉] 司马迁 著，李翰文 编,2016,北京联合出版公司,198.0,历史
人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）,[日]中村恒子（恒子奶奶）著，紫图出品,2019,北京日报出版社（原同心出版社）,49.9,成功/励志
非暴力沟通,（美）马歇尔?卢森堡著   阮胤华译,2018,华夏出版社,49.0,成功/励志
亲密关系：通往灵魂的桥梁（新版）,"（加）克里斯多福·孟 著,博集天卷 出品",2019,湖南文艺出版社,45.0,成功/励志
断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰的减法哲学,"山下英子 著,博集天卷 出品",2019,湖南文艺出版社,45.0,成功/励志
钝感力（渡边淳一经典：具备不为小事动摇的钝感力，才能成为真正的赢家)（团购，请致电400-106-6666转6）,渡边淳一著；李迎跃 译;,2018,青岛出版社,32.0,成功/励志
人性的弱点（薛之谦推荐，改变股神巴菲特的一生，畅销200万册）【果麦经典】,戴尔·卡耐基 著，陶曚 译，果麦文化 出品,2014,天津人民出版社,32.0,成功/励志
你有多自律，就有多自由,卡西,2018,中国致公出版社,39.9,成功/励志
格局（新版）：思维决定出路，格局决定结局,"何权峰 著,  悦读纪 出品",2019,青岛出版社,36.0,成功/励志
高效能人士的七个习惯（30周年纪念版）：打造一套全新的思维方式和原则体系,（美）史蒂芬·柯维,2018,中国青年出版社,79.0,成功/励志
万古江河：中国历史文化的转折与开展（2017新版）,许倬云 著，理想国 出品,2017,湖南人民出版社,68.0,历史
人类简史三部曲： 人类简史+今日简史+未来简史,尤瓦尔·赫拉利,2018,中信出版社,204.0,历史
全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全球通史主题笔记本）,（美）斯塔夫里阿诺斯  著，吴象婴  等译,2006,北京大学出版社,96.0,历史
丝绸之路：一部全新的世界史（关心一带一路，必读丝绸之路）,[英]彼得·弗兰科潘 (Peter Frankopan)  著；邵旭东，孙芳 译；徐文堪 审校；读客文化 出品,2016,浙江大学出版社,128.0,历史
中国通史,吕思勉,2016,群言出版社,45.0,历史
半小时漫画中国史（修订版）（看半小时漫画，通五千年历史！《半小时漫画中国史》系列开篇之作）团购电话4001066666转6,陈磊（二混子） 著；读客文化 出品,2017,江苏文艺出版社,39.9,历史
刻意练习：如何从新手到大师 团购电话:4001066666转6,[美] 安德斯·艾利克森、王正林,2016,机械工业出版社,39.0,成功/励志
少有人走的路：心智成熟的旅程 （白金升级版）,斯科特·派克,2017,中华工商联合出版社,42.0,成功/励志
所谓情商高，就是会说话,佐佐木圭一 著 程亮 译 时代华语 出品,2016,北京联合出版公司,32.0,成功/励志
因为这是你的人生（蔡康永19年新作，当当专享签章版）,"蔡康永 著,博集天卷 出品",2019,湖南文艺出版社,46.8,成功/励志
会说话的人运气都不会太差（风靡日本的高情商沟通术）,【日】矢野香 著  王军 译 时代华语 出品,2018,北京联合出版有限公司,42.0,成功/励志
认知天性：让学习轻而易举的心理学规律,[英] 彼得·布朗，亨利·勒迪格三世，马克·麦克丹尼尔,2018,中信出版社,58.0,成功/励志
人性的弱点大全集（人性的弱点+人性的优点）（薛之谦推荐。20世纪最伟大的心灵导师和成功学大师戴尔·卡耐基）,戴尔·卡耐基，果麦文化 出品,2017,天津人民出版社,60.0,成功/励志
当你又忙又美，何惧患得患失（不纠结，不依附；按章服用，你将减少80%的拧巴！王潇、张萌、陈熠诚意推荐！）,梁爽,2019,天地出版社,42.0,成功/励志
羊皮卷大全集（畅销珍藏本）,（美曼狄诺　等著，张权　编译,2011,黑龙江科学技术出版社,35.0,成功/励志
好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品“醒脑之书”系列之三）,老杨的猫头鹰,2017,现代出版社,39.8,成功/励志
蜘蛛开店 二年级下册 统编版语文教材配套阅读 课外必读 课文作家作品系列,鲁冰 著，王林 主编,2019,人民教育出版社,19.8,中小学教辅
彩色的梦 二年级下册 统编版语文教材配套阅读 课外必读 课文作家作品系列,高洪波 著，王林 主编,2018,人民教育出版社,19.8,中小学教辅
乌丢丢的奇遇 曹文轩推荐儿童文学经典书系 33万多名读者热评！,金波 著,2015,北京教育出版社,18.8,中小学教辅
十万个为什么 统编语文教科书四年级（下）指定阅读（中小学新课标必读名著）,（苏）米 伊林,2018,南方出版社,22.8,中小学教辅
中国传统节日故事 小学语文课外读物 （收录专家解读节日和习俗，包含春节、元宵节、清明节、等所有重大节日）,爱华文 （著）,2018,团结出版社,22.0,中小学教辅
细菌世界历险记 又名:灰尘的旅行 统编小学语文教材四年级下册快乐读书吧推荐必读书目 菌儿自传 高士其科普童话 150000多名读者热评！,高士其，童趣出版有限公司编,2016,人民邮电出版社,22.8,中小学教辅
中国古代寓言故事 统编小学语文教材三年级下册快乐读书吧推荐必读书目 90000多名读者热评！,宫利勤　编写，童趣出版有限公司编,2013,人民邮电出版社,13.8,中小学教辅
小学生必背古诗词75+80首 28万多读者好评，不同印次随机发货!,说词解字辞书研究中心,2014,华语教学出版社,28.0,中小学教辅
统编语文必读书目 人教版快乐读书吧二年级下册套装（七色花+神笔马良+一起长大的玩具+愿望的实现）共4册 新版  新旧封面随机发货,曹文轩 陈先云 主编,2019,人民教育出版社,64.0,中小学教辅
细菌世界历险记 又名:灰尘的旅行 统编小学语文教材四年级下册快乐读书吧推荐必读书目 高士其科普童话 菌儿自传 全书彩绘插图,高士其,2017,人民邮电出版社,26.8,中小学教辅
福尔摩斯探案集（中小学新课标必读名著）130000多名读者热评！,(英）柯南 道尔，童趣出版有限公司,2014,人民邮电出版社,17.8,中小学教辅
汤姆索亚历险记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 280000多名读者热评！,(美) 马克 吐温著,2012,商务印书馆,14.8,中小学教辅
树和喜鹊 一年级下册 统编版语文教材配套阅读 课外必读 课文作家作品系列,金波 著，王林 主编,2017,人民教育出版社,19.8,中小学教辅
新华字典（第11版）（双色本）,中国社会科学院语言研究所,2011,商务印书馆,24.9,中小学教辅
傅雷家书 部编本语文教材八年级下册指定阅读,傅雷 著，麦书房出品，有容书邦 发行,2017,北岳文艺出版社,35.0,中小学教辅
克雷洛夫寓言 统编小学语文教材三年级下册快乐读书吧推荐必读书目 45000多名读者热评！,(俄) 克雷洛夫著,2013,人民邮电出版社,15.8,中小学教辅
穿过地平线 又名:看看我们的地球 统编小学语文教材四年级下册快乐读书吧推荐必读书目 （中小学课外阅读必读名著）,李四光著,2019,南方出版社,24.8,中小学教辅
爷爷的爷爷从哪里来 又名:人类起源的演化过程 统编小学语文教材四年级下册快乐读书吧推荐必读书目 27000多名读者热评！,贾兰坡,2016,人民邮电出版社,22.8,中小学教辅
尼尔斯骑鹅旅行记 统编小学语文教材六年级下册快乐读书吧推荐必读书目 85000多名读者热评！,（瑞典）拉格洛夫,2013,人民邮电出版社,16.8,中小学教辅
伊索寓言 统编小学语文教材三年级下册快乐读书吧推荐必读书目 120000多名读者热评！,［古希腊］伊索  著,2012,商务印书馆,14.8,中小学教辅
"平如美棠 我俩的故事（第三版,毛边书）",饶平如,2017,广西师范大学出版社,49.8,传记
我们仨（新版）,杨绛,2018,生活.读书.新知三联书店,28.0,传记
华为没有成功，只有成长：任正非传,林超华,2019,华中科技大学出版社,49.8,传记
人类群星闪耀时(14个改变人类命运的天才，14个影响人类文明的瞬间！全新精装彩插导读详注版！打动余华、高晓松、李健！）【读客经典】,[奥地利]茨威格,2019,江苏凤凰文艺出版社,69.0,传记
人类群星闪耀时（《一个陌生女人的来信》作者茨威格的传记杰作，14位时代英雄，14个人类命运攸关的历史时刻。无删减全译本）,〔奥〕斯蒂芬·茨威格 著，潘子力 高中甫 译,2018,时代文艺出版社,28.0,传记
天生有罪：特雷弗·诺亚的变色人生（挺中国的美国国民脱口秀主持人“崔娃”一鸣惊人的成长经历）,[南非] 特雷弗·诺亚（Trevor Noah）,2018,北京联合出版有限公司,58.0,传记
过得刚好（2019新版）,郭德纲,2019,北京联合出版公司,52.0,传记
苏东坡传（林语堂精装2018版）（1-9年级必读书单）,"林语堂 著,博集天卷 出品",2018,湖南文艺出版社,52.0,传记
名人传（“人类有史以来的30本好书”之一，经典全译本）,（法）罗曼罗兰 著  陈筱卿 译,2016,作家出版社,28.0,传记
李清照传：半生烟雨，半世落花,随园散人著，交通社出品，有容书邦  发行,2016,人民交通出版社,36.0,传记
人类群星闪耀时,（奥）斯蒂芬·茨威格编 ; 邵灵侠译著    知书达礼  出品,2018,开明出版社,49.8,传记
曾国藩传,梅寒 著，麦书房出品，有容书邦发行,2018,江苏凤凰文艺出版社,49.0,传记
成为becoming：米歇尔·奥巴马自传（精装版）2019读者年度“十大影响力图书”、年度“人物传记”作品！美国前第一夫人米歇尔亲笔自传！全球销售超1000万册！,米歇尔·奥巴马  MICHELLE ROBINSON OBAMA,2019,天地出版社,98.0,传记
且以优雅过一生：杨绛传（杨绛传记的标杆之作）,桑妮 著，博集天卷 出品,2016,湖南文艺出版社,32.0,传记
李白传：一声狂笑，半个盛唐,随园散人著，鲤伴出品，有容书邦发行,2018,江苏凤凰文艺出版社,42.0,传记
曼巴精神：科比自传（精装）,[美]科比·布莱恩特 著，黄祎 译,2018,金城出版社,124.08,传记
向前一步(珍藏版),Sheryl Sandberg,2014,中信出版社,49.0,传记
曾国藩传（张宏杰新作）,张宏杰,2019,民主与建设出版社,68.0,传记
张爱玲传：因为懂得，所有慈悲（一本书读懂张爱玲的传奇人生）,杨锦慧著,2019,民主与建设出版社,49.8,传记
苏东坡传（图文典藏版）,"林语堂 著,博集天卷 出品",2018,湖南人民出版社,48.0,传记
乌合之众 : 大众心理研究,(法) 古斯塔夫·勒庞 著，马晓佳 译,2018,民主与建设出版社,26.0,心理学
自卑与超越（白岩松推荐，完整全译本未删节）,阿德勒 ，杨蔚 译者，果麦文化 出品,2017,天津人民出版社,25.0,心理学
天才在左 疯子在右(2018全新完整版),高铭 著，磨铁图书 出品,2018,北京联合出版有限公司,49.8,心理学
了不起的我：自我发展的心理学（陈海贤重磅新作，得到App10万+付费用户亲测有效 ）,陈海贤 得到出品,2019,台海出版社,69.0,心理学
终身成长：重新定义成功的思维模式,[美]卡罗尔·德韦克（Carol Dweck) ， 译者：楚祎楠   后浪,2017,江西人民出版社,49.8,心理学
幽微的人性,李玫瑾,2019,北京联合出版有限公司,39.8,心理学
共情的力量：情商高的人，如何抚慰受伤的灵魂,[美]亚瑟·乔拉米卡利(Arthur Ciaramicoli) [美]凯瑟琳·柯茜(Katherine Ketcham)  著，开森心理 出品,2019,中国致公出版社,49.8,心理学
乌合之众：群体时代的大众心理（精装插图版）,（法）古斯塔夫·勒庞著，张倩倩译,2015,北京联合出版公司,39.8,心理学
自控力（畅销300万册纪念版！斯坦福大学广受欢迎的心理学课程！从自知到自控，拿回人生主导权！）,（美）凯利?麦格尼格尔 著，磨铁图书 出品,2017,文化发展出版社,45.0,心理学
儿童心理学（精装修订版）,（英）H. Rudolph Schaffer（H. 鲁道夫?谢弗） 著，王莉 译,2016,电子工业出版社,65.0,心理学
自卑与超越（也译作《超越自卑》）“生命对你来说可以意味着什么？”,[奥]阿尔弗雷德·阿德勒 著，马晓佳 译,2017,民主与建设出版社,30.0,心理学
只有心理医生知道,[美]玛丽·皮弗(Mary Pipher) 著，开森心理 出品,2020,东方出版社,48.0,心理学
爱的艺术（弗洛姆作品系列）,[美]艾里希·弗洛姆 著，刘福堂 译,2018,上海译文出版社,29.0,心理学
墨菲定律（一本好玩又实用的日常行为心理指南）,张文成   著，文通天下  出品,2017,古吴轩出版社,32.8,心理学
墨菲定律（100万册精装纪念版）（只要有可能，就一定会发生。）,张文成,2019,古吴轩出版社,45.0,心理学
梦的解析,（奥）弗洛伊德,2014,江西人民出版社,39.8,心理学
自控力（精装版）（超级畅销书《自控力》，100万册硬精装纪念！只需10周，成功掌控自己的时间和生活）,凯利·麦格尼格尔,2013,文化发展出版社,49.8,心理学
事实（樊登读书创始人樊登博士倾力推荐！比尔·盖茨送给全美大学生的毕业礼物！比尔·盖茨逢人就推荐的热门大书！）,（瑞典）汉斯·罗斯林，欧拉·罗斯林，安娜·罗斯林·罗朗德,2019,文汇出版社,99.0,管理
墨菲定律,张新捷著,2019,中国人口出版社,49.8,心理学
社会心理学（第11版）,（美） 戴维·迈尔斯（David Myers）著，侯玉波，乐国安，张智勇 等译,2016,人民邮电出版社,128.0,心理学
母爱的羁绊,（美）麦克布莱德　著，于玲娜　译,2015,机械工业出版社,35.0,心理学
金字塔原理（全新精装修订版，麦肯锡40年经典培训教材）,芭芭拉 · 明托  著 ，新经典  出品,2019,南海出版公司,88.0,管理
原则 principles 雷·达里奥著 跨年演讲推荐图书 团购电话:4001066666转6,[美]瑞·达利欧（Ray Dalio）,2018,中信出版社,98.0,管理
谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,(英) 盖温·肯尼迪 (Gavin Kennedy),2018,民主与建设出版社,45.0,管理
可复制的领导力：樊登的9堂商业课（团购，请致电400-106-6666转6）,樊登,2017,中信出版社,49.0,管理
深度思考：不断逼近问题的本质,[美]莫琳·希凯 著 孔锐才 译 时代华语 出品,2018,江苏凤凰文艺出版社,48.0,管理
影响力（经典版）（新版）（团购，请致电400-106-6666转6）,（美）罗伯特·B.西奥迪尼（Robert B.Cialdini）著 湛庐文化 出品,2016,北京联合出版公司,54.9,管理
德鲁克 卓有成效的管理者（2019年新版）,[美]彼得?德鲁克（Peter F. Drucker）,2019,机械工业出版社,69.0,管理
黑天鹅（2019版）：如何应对不可预知的未来,纳西姆·尼古拉斯·塔勒布,2019,中信出版社,69.0,管理
干法,[日]稻盛和夫,2019,机械工业出版社,39.0,管理
能力陷阱（樊登读书创始人樊登博士特别推荐图书）,（美）埃米尼亚·伊贝拉 著 王臻 译 时代华语 出品,2019,北京联合出版有限公司,56.0,管理
清单革命 （经典版）,[美] 阿图.葛文德（Atul Gawande）著 湛庐文化 出品,2017,北京联合出版有限公司,59.9,管理
【分批到货，陆续发】增长黑客：如何低成本实现爆发式成长,"肖恩·埃利斯（Sean Ellis）,摩根·布朗（Morgan Brown）",2018,中信出版社,59.0,管理
领导力陷阱：英国皇家特许管理协会年度图书金奖,[英]乔·欧文 著，杨献军 译，斯坦威 出品,2019,科学技术文献出版社,59.0,管理
掌控习惯（樊登读书创始人樊登博士倾力推荐）,【美】詹姆斯·克利尔（James Clear）著  迩东晨 译,2019,北京联合出版有限公司,56.0,管理
格局：世界永远不缺聪明人（吴军作品）,吴军,2019,中信出版社,59.0,管理
子弹笔记（INS爆红，YouTube千万点赞的超级笔记术）,（美）赖德·卡罗尔 著，未读 出品,2018,北京联合出版有限公司,58.0,管理
零售的哲学:7-Eleven便利店创始人自述（无论卖什么都能大卖的零售哲学！樊登读书创始人樊登博士倾力推荐！零售行业圣经，创业者必读！）,铃木敏文 著；读客文化 出品,2014,江苏文艺出版社,36.0,管理
人生十二法则,(加)乔丹?彼得森 （Jordan B. Peterson） 著 史秀雄 译  湛庐文化 出品,2019,浙江人民出版社,79.9,管理
见识 吴军 首部认知升级类著作,吴军,2018,中信出版社,49.0,管理
新概念英语1 练习册,[英]亚历山大,2000,外语教学与研究出版社,15.9,外语
2020年6月新试卷星火英语四级真题备考2020试卷全真试题+标准模拟(4级）刷题真题词汇写作听力口语,汪开虎,2020,上海交通大学出版社,59.8,外语
2020年6月新试卷星火英语六级真题备考2020试卷全真试题+标准模拟(6级）刷题真题词汇写作听力口语,汪开虎,2020,上海交通大学出版社,59.8,外语
新概念英语2 练习册,亚历山大,2011,外语教学与研究出版社,16.9,外语
新版中日交流标准日本语 初级 上下册（第二版）（含上下册、CD两张及电子书）标日日语主教材,人民教育出版社，日本光村图书出版株式会社　编,2013,人民教育出版社,78.0,外语
朗文·外研社·新概念英语1英语初阶学生用书（全新版附扫码音频）,亚历山大（L. G. Alexander），何其莘,2019,外语教学与研究出版社,39.9,外语
牛津高阶英汉双解词典（第9版）,[英]霍恩比 原著，李旭影 等译,2018,商务印书馆,169.0,外语
做孩子最好的英语学习规划师:中国儿童英语习得全路线图,盖兆泉　著,2015,外语教学与研究出版社,49.8,外语
极简英语思维：你的第一本语法学习书,杨海英,2019,民主与建设出版社,39.8,外语
做孩子最好的英语学习规划师2:懒人解决方案,盖兆泉,2019,外语教学与研究出版社,69.8,外语
